method,sample_size,run,area
uniform_square,100,1,0.96
uniform_square,100,2,1.92
uniform_square,100,3,1.12
uniform_square,100,4,1.44
uniform_square,100,5,1.92
uniform_square,100,6,1.12
uniform_square,100,7,2.4
uniform_square,100,8,2.08
uniform_square,100,9,1.92
uniform_square,100,10,0.96
uniform_square,100,11,1.6
uniform_square,100,12,1.6
uniform_square,100,13,1.76
uniform_square,100,14,1.12
uniform_square,100,15,0.96
uniform_square,100,16,1.12
uniform_square,100,17,1.12
uniform_square,100,18,1.76
uniform_square,100,19,0.32
uniform_square,100,20,0.96
uniform_square,100,21,1.28
uniform_square,100,22,2.4
uniform_square,100,23,1.44
uniform_square,100,24,0.96
uniform_square,100,25,2.4
uniform_square,100,26,1.76
uniform_square,100,27,0.64
uniform_square,100,28,1.44
uniform_square,100,29,1.44
uniform_square,100,30,1.76
uniform_square,100,31,1.28
uniform_square,100,32,1.92
uniform_square,100,33,1.6
uniform_square,100,34,1.12
uniform_square,100,35,0.64
uniform_square,100,36,1.92
uniform_square,100,37,1.76
uniform_square,100,38,1.76
uniform_square,100,39,1.6
uniform_square,100,40,1.28
uniform_square,100,41,2.08
uniform_square,100,42,1.92
uniform_square,100,43,2.4
uniform_square,100,44,0.96
uniform_square,100,45,1.6
uniform_square,100,46,1.6
uniform_square,100,47,1.28
uniform_square,100,48,1.12
uniform_square,100,49,1.6
uniform_square,100,50,1.76
uniform_square,100,51,1.28
uniform_square,100,52,2.24
uniform_square,100,53,1.92
uniform_square,100,54,1.92
uniform_square,100,55,1.44
uniform_square,100,56,2.08
uniform_square,100,57,2.08
uniform_square,100,58,1.44
uniform_square,100,59,1.92
uniform_square,100,60,1.76
uniform_square,100,61,1.6
uniform_square,100,62,1.6
uniform_square,100,63,1.12
uniform_square,100,64,0.8
uniform_square,100,65,1.44
uniform_square,100,66,1.28
uniform_square,100,67,1.12
uniform_square,100,68,1.28
uniform_square,100,69,0.8
uniform_square,100,70,2.08
uniform_square,100,71,1.76
uniform_square,100,72,1.6
uniform_square,100,73,2.08
uniform_square,100,74,1.44
uniform_square,100,75,1.44
uniform_square,100,76,1.44
uniform_square,100,77,1.44
uniform_square,100,78,1.12
uniform_square,100,79,1.6
uniform_square,100,80,1.6
uniform_square,100,81,1.28
uniform_square,100,82,1.92
uniform_square,100,83,0.64
uniform_square,100,84,1.6
uniform_square,100,85,1.92
uniform_square,100,86,1.44
uniform_square,100,87,1.92
uniform_square,100,88,1.12
uniform_square,100,89,1.6
uniform_square,100,90,1.44
uniform_square,100,91,0.64
uniform_square,100,92,1.28
uniform_square,100,93,1.44
uniform_square,100,94,1.44
uniform_square,100,95,2.4
uniform_square,100,96,2.4
uniform_square,100,97,1.6
uniform_square,100,98,1.92
uniform_square,100,99,1.6
uniform_square,100,100,1.28
uniform_circle,100,1,1.3194689145077134
uniform_circle,100,2,1.570796326794897
uniform_circle,100,3,1.6964600329384887
uniform_circle,100,4,1.6964600329384887
uniform_circle,100,5,1.633628179866693
uniform_circle,100,6,1.3194689145077134
uniform_circle,100,7,1.9477874452256723
uniform_circle,100,8,1.4451326206513053
uniform_circle,100,9,1.5079644737231013
uniform_circle,100,10,1.5079644737231013
uniform_circle,100,11,1.3823007675795094
uniform_circle,100,12,1.633628179866693
uniform_circle,100,13,1.2566370614359175
uniform_circle,100,14,1.4451326206513053
uniform_circle,100,15,2.010619298297468
uniform_circle,100,16,1.3194689145077134
uniform_circle,100,17,1.6964600329384887
uniform_circle,100,18,1.5079644737231013
uniform_circle,100,19,1.9477874452256723
uniform_circle,100,20,1.06814150222053
uniform_circle,100,21,1.570796326794897
uniform_circle,100,22,1.8221237390820806
uniform_circle,100,23,2.073451151369264
uniform_circle,100,24,1.8849555921538763
uniform_circle,100,25,1.570796326794897
uniform_circle,100,26,1.3823007675795094
uniform_circle,100,27,1.2566370614359175
uniform_circle,100,28,1.3194689145077134
uniform_circle,100,29,1.570796326794897
uniform_circle,100,30,1.7592918860102846
uniform_circle,100,31,1.7592918860102846
uniform_circle,100,32,1.4451326206513053
uniform_circle,100,33,1.1938052083641217
uniform_circle,100,34,1.5079644737231013
uniform_circle,100,35,0.7539822368615506
uniform_circle,100,36,1.6964600329384887
uniform_circle,100,37,1.8221237390820806
uniform_circle,100,38,1.633628179866693
uniform_circle,100,39,1.06814150222053
uniform_circle,100,40,2.073451151369264
uniform_circle,100,41,1.5079644737231013
uniform_circle,100,42,1.8221237390820806
uniform_circle,100,43,2.073451151369264
uniform_circle,100,44,1.7592918860102846
uniform_circle,100,45,0.8796459430051423
uniform_circle,100,46,1.3823007675795094
uniform_circle,100,47,1.2566370614359175
uniform_circle,100,48,1.633628179866693
uniform_circle,100,49,1.4451326206513053
uniform_circle,100,50,1.7592918860102846
uniform_circle,100,51,1.6964600329384887
uniform_circle,100,52,1.5079644737231013
uniform_circle,100,53,1.1938052083641217
uniform_circle,100,54,1.6964600329384887
uniform_circle,100,55,1.3823007675795094
uniform_circle,100,56,1.570796326794897
uniform_circle,100,57,1.570796326794897
uniform_circle,100,58,1.4451326206513053
uniform_circle,100,59,1.8221237390820806
uniform_circle,100,60,1.2566370614359175
uniform_circle,100,61,1.7592918860102846
uniform_circle,100,62,1.2566370614359175
uniform_circle,100,63,1.1938052083641217
uniform_circle,100,64,1.3194689145077134
uniform_circle,100,65,1.7592918860102846
uniform_circle,100,66,1.6964600329384887
uniform_circle,100,67,1.7592918860102846
uniform_circle,100,68,1.6964600329384887
uniform_circle,100,69,1.5079644737231013
uniform_circle,100,70,1.9477874452256723
uniform_circle,100,71,1.5079644737231013
uniform_circle,100,72,1.1309733552923258
uniform_circle,100,73,1.1309733552923258
uniform_circle,100,74,1.4451326206513053
uniform_circle,100,75,1.570796326794897
uniform_circle,100,76,1.8221237390820806
uniform_circle,100,77,1.8849555921538763
uniform_circle,100,78,1.7592918860102846
uniform_circle,100,79,1.1938052083641217
uniform_circle,100,80,1.2566370614359175
uniform_circle,100,81,1.570796326794897
uniform_circle,100,82,1.3823007675795094
uniform_circle,100,83,1.5079644737231013
uniform_circle,100,84,1.9477874452256723
uniform_circle,100,85,1.8849555921538763
uniform_circle,100,86,1.570796326794897
uniform_circle,100,87,1.7592918860102846
uniform_circle,100,88,1.9477874452256723
uniform_circle,100,89,1.3823007675795094
uniform_circle,100,90,1.9477874452256723
uniform_circle,100,91,1.633628179866693
uniform_circle,100,92,1.6964600329384887
uniform_circle,100,93,1.5079644737231013
uniform_circle,100,94,1.1309733552923258
uniform_circle,100,95,2.2619467105846516
uniform_circle,100,96,1.570796326794897
uniform_circle,100,97,1.06814150222053
uniform_circle,100,98,1.3823007675795094
uniform_circle,100,99,1.005309649148734
uniform_circle,100,100,1.005309649148734
latin_hypercube,100,1,1.76
latin_hypercube,100,2,1.6
latin_hypercube,100,3,1.44
latin_hypercube,100,4,1.92
latin_hypercube,100,5,1.6
latin_hypercube,100,6,1.76
latin_hypercube,100,7,1.6
latin_hypercube,100,8,1.44
latin_hypercube,100,9,1.6
latin_hypercube,100,10,1.76
latin_hypercube,100,11,0.96
latin_hypercube,100,12,1.28
latin_hypercube,100,13,1.76
latin_hypercube,100,14,1.28
latin_hypercube,100,15,1.92
latin_hypercube,100,16,1.6
latin_hypercube,100,17,1.44
latin_hypercube,100,18,1.6
latin_hypercube,100,19,1.28
latin_hypercube,100,20,1.6
latin_hypercube,100,21,1.44
latin_hypercube,100,22,1.76
latin_hypercube,100,23,0.8
latin_hypercube,100,24,0.96
latin_hypercube,100,25,2.08
latin_hypercube,100,26,1.6
latin_hypercube,100,27,1.92
latin_hypercube,100,28,1.6
latin_hypercube,100,29,1.6
latin_hypercube,100,30,1.28
latin_hypercube,100,31,2.72
latin_hypercube,100,32,1.6
latin_hypercube,100,33,1.28
latin_hypercube,100,34,1.76
latin_hypercube,100,35,1.28
latin_hypercube,100,36,1.92
latin_hypercube,100,37,0.96
latin_hypercube,100,38,1.92
latin_hypercube,100,39,1.6
latin_hypercube,100,40,2.08
latin_hypercube,100,41,1.92
latin_hypercube,100,42,1.12
latin_hypercube,100,43,1.28
latin_hypercube,100,44,1.28
latin_hypercube,100,45,1.76
latin_hypercube,100,46,1.76
latin_hypercube,100,47,1.44
latin_hypercube,100,48,1.92
latin_hypercube,100,49,2.08
latin_hypercube,100,50,1.44
latin_hypercube,100,51,1.28
latin_hypercube,100,52,0.64
latin_hypercube,100,53,1.76
latin_hypercube,100,54,1.6
latin_hypercube,100,55,1.12
latin_hypercube,100,56,1.28
latin_hypercube,100,57,1.92
latin_hypercube,100,58,1.6
latin_hypercube,100,59,1.28
latin_hypercube,100,60,1.92
latin_hypercube,100,61,1.44
latin_hypercube,100,62,1.12
latin_hypercube,100,63,2.08
latin_hypercube,100,64,1.28
latin_hypercube,100,65,1.6
latin_hypercube,100,66,1.44
latin_hypercube,100,67,1.12
latin_hypercube,100,68,1.28
latin_hypercube,100,69,1.44
latin_hypercube,100,70,1.92
latin_hypercube,100,71,1.6
latin_hypercube,100,72,1.44
latin_hypercube,100,73,0.8
latin_hypercube,100,74,1.6
latin_hypercube,100,75,1.12
latin_hypercube,100,76,1.12
latin_hypercube,100,77,2.08
latin_hypercube,100,78,1.28
latin_hypercube,100,79,1.6
latin_hypercube,100,80,1.44
latin_hypercube,100,81,1.6
latin_hypercube,100,82,1.92
latin_hypercube,100,83,1.76
latin_hypercube,100,84,1.44
latin_hypercube,100,85,1.12
latin_hypercube,100,86,1.76
latin_hypercube,100,87,0.96
latin_hypercube,100,88,1.12
latin_hypercube,100,89,1.76
latin_hypercube,100,90,1.6
latin_hypercube,100,91,1.12
latin_hypercube,100,92,1.92
latin_hypercube,100,93,1.92
latin_hypercube,100,94,1.6
latin_hypercube,100,95,1.76
latin_hypercube,100,96,1.28
latin_hypercube,100,97,1.92
latin_hypercube,100,98,1.76
latin_hypercube,100,99,1.6
latin_hypercube,100,100,1.44
orthogonal,100,1,1.6
orthogonal,100,2,1.44
orthogonal,100,3,1.6
orthogonal,100,4,1.76
orthogonal,100,5,1.76
orthogonal,100,6,1.44
orthogonal,100,7,1.44
orthogonal,100,8,1.44
orthogonal,100,9,1.6
orthogonal,100,10,2.08
orthogonal,100,11,1.28
orthogonal,100,12,1.44
orthogonal,100,13,1.28
orthogonal,100,14,1.12
orthogonal,100,15,1.6
orthogonal,100,16,1.44
orthogonal,100,17,1.28
orthogonal,100,18,1.6
orthogonal,100,19,1.6
orthogonal,100,20,1.44
orthogonal,100,21,1.6
orthogonal,100,22,1.76
orthogonal,100,23,1.44
orthogonal,100,24,1.44
orthogonal,100,25,1.76
orthogonal,100,26,1.6
orthogonal,100,27,1.12
orthogonal,100,28,1.6
orthogonal,100,29,1.92
orthogonal,100,30,1.28
orthogonal,100,31,1.76
orthogonal,100,32,1.6
orthogonal,100,33,1.28
orthogonal,100,34,1.6
orthogonal,100,35,1.12
orthogonal,100,36,1.76
orthogonal,100,37,1.44
orthogonal,100,38,1.76
orthogonal,100,39,1.76
orthogonal,100,40,1.6
orthogonal,100,41,1.92
orthogonal,100,42,1.6
orthogonal,100,43,1.92
orthogonal,100,44,1.92
orthogonal,100,45,1.6
orthogonal,100,46,1.28
orthogonal,100,47,1.44
orthogonal,100,48,1.28
orthogonal,100,49,1.6
orthogonal,100,50,1.6
orthogonal,100,51,1.28
orthogonal,100,52,1.6
orthogonal,100,53,1.28
orthogonal,100,54,1.44
orthogonal,100,55,1.6
orthogonal,100,56,1.76
orthogonal,100,57,1.28
orthogonal,100,58,1.12
orthogonal,100,59,1.44
orthogonal,100,60,1.6
orthogonal,100,61,1.76
orthogonal,100,62,1.28
orthogonal,100,63,1.44
orthogonal,100,64,1.44
orthogonal,100,65,1.28
orthogonal,100,66,1.76
orthogonal,100,67,1.12
orthogonal,100,68,1.44
orthogonal,100,69,1.28
orthogonal,100,70,1.28
orthogonal,100,71,1.44
orthogonal,100,72,1.6
orthogonal,100,73,1.44
orthogonal,100,74,1.6
orthogonal,100,75,1.28
orthogonal,100,76,1.76
orthogonal,100,77,1.6
orthogonal,100,78,1.28
orthogonal,100,79,1.6
orthogonal,100,80,1.44
orthogonal,100,81,1.12
orthogonal,100,82,1.6
orthogonal,100,83,1.28
orthogonal,100,84,1.6
orthogonal,100,85,1.28
orthogonal,100,86,1.44
orthogonal,100,87,1.92
orthogonal,100,88,1.44
orthogonal,100,89,1.44
orthogonal,100,90,1.6
orthogonal,100,91,1.12
orthogonal,100,92,1.6
orthogonal,100,93,1.44
orthogonal,100,94,1.6
orthogonal,100,95,0.96
orthogonal,100,96,0.96
orthogonal,100,97,1.92
orthogonal,100,98,1.6
orthogonal,100,99,1.28
orthogonal,100,100,1.6
uniform_square,10000,1,1.6048
uniform_square,10000,2,1.4384
uniform_square,10000,3,1.5696
uniform_square,10000,4,1.4864
uniform_square,10000,5,1.5008
uniform_square,10000,6,1.4944
uniform_square,10000,7,1.5056
uniform_square,10000,8,1.5488
uniform_square,10000,9,1.4768
uniform_square,10000,10,1.5488
uniform_square,10000,11,1.4992
uniform_square,10000,12,1.5904
uniform_square,10000,13,1.536
uniform_square,10000,14,1.4592
uniform_square,10000,15,1.5664
uniform_square,10000,16,1.6112
uniform_square,10000,17,1.4928
uniform_square,10000,18,1.5424
uniform_square,10000,19,1.5696
uniform_square,10000,20,1.5376
uniform_square,10000,21,1.504
uniform_square,10000,22,1.5504
uniform_square,10000,23,1.424
uniform_square,10000,24,1.4688
uniform_square,10000,25,1.4224
uniform_square,10000,26,1.5312
uniform_square,10000,27,1.5088
uniform_square,10000,28,1.4704
uniform_square,10000,29,1.5184
uniform_square,10000,30,1.4672
uniform_square,10000,31,1.5104
uniform_square,10000,32,1.5936
uniform_square,10000,33,1.4848
uniform_square,10000,34,1.472
uniform_square,10000,35,1.4656
uniform_square,10000,36,1.4624
uniform_square,10000,37,1.4528
uniform_square,10000,38,1.4768
uniform_square,10000,39,1.4976
uniform_square,10000,40,1.52
uniform_square,10000,41,1.5552
uniform_square,10000,42,1.5072
uniform_square,10000,43,1.5616
uniform_square,10000,44,1.4832
uniform_square,10000,45,1.496
uniform_square,10000,46,1.424
uniform_square,10000,47,1.5248
uniform_square,10000,48,1.504
uniform_square,10000,49,1.5072
uniform_square,10000,50,1.52
uniform_square,10000,51,1.4928
uniform_square,10000,52,1.552
uniform_square,10000,53,1.4576
uniform_square,10000,54,1.448
uniform_square,10000,55,1.6256
uniform_square,10000,56,1.4832
uniform_square,10000,57,1.4864
uniform_square,10000,58,1.52
uniform_square,10000,59,1.5904
uniform_square,10000,60,1.5088
uniform_square,10000,61,1.4816
uniform_square,10000,62,1.5248
uniform_square,10000,63,1.4624
uniform_square,10000,64,1.5232
uniform_square,10000,65,1.5136
uniform_square,10000,66,1.4816
uniform_square,10000,67,1.4912
uniform_square,10000,68,1.5264
uniform_square,10000,69,1.5088
uniform_square,10000,70,1.5616
uniform_square,10000,71,1.52
uniform_square,10000,72,1.52
uniform_square,10000,73,1.5232
uniform_square,10000,74,1.496
uniform_square,10000,75,1.5152
uniform_square,10000,76,1.5424
uniform_square,10000,77,1.4768
uniform_square,10000,78,1.5008
uniform_square,10000,79,1.5776
uniform_square,10000,80,1.4944
uniform_square,10000,81,1.5056
uniform_square,10000,82,1.5808
uniform_square,10000,83,1.4752
uniform_square,10000,84,1.4224
uniform_square,10000,85,1.5216
uniform_square,10000,86,1.4336
uniform_square,10000,87,1.4336
uniform_square,10000,88,1.5424
uniform_square,10000,89,1.5104
uniform_square,10000,90,1.5392
uniform_square,10000,91,1.5552
uniform_square,10000,92,1.4464
uniform_square,10000,93,1.5824
uniform_square,10000,94,1.5792
uniform_square,10000,95,1.5072
uniform_square,10000,96,1.5664
uniform_square,10000,97,1.5616
uniform_square,10000,98,1.4336
uniform_square,10000,99,1.3936
uniform_square,10000,100,1.488
uniform_circle,10000,1,1.4872299622094085
uniform_circle,10000,2,1.4828317324943827
uniform_circle,10000,3,1.5211591628681782
uniform_circle,10000,4,1.538123763197563
uniform_circle,10000,5,1.4708936804107415
uniform_circle,10000,6,1.5224157999296142
uniform_circle,10000,7,1.4884865992708445
uniform_circle,10000,8,1.4796901398407931
uniform_circle,10000,9,1.5387520817282812
uniform_circle,10000,10,1.5582299561805377
uniform_circle,10000,11,1.5481768596890504
uniform_circle,10000,12,1.49288482898587
uniform_circle,10000,13,1.4696370433493058
uniform_circle,10000,14,1.5726812823870508
uniform_circle,10000,15,1.5714246453256149
uniform_circle,10000,16,1.5506901338119223
uniform_circle,10000,17,1.5431503114433067
uniform_circle,10000,18,1.4690087248185877
uniform_circle,10000,19,1.5054511996002293
uniform_circle,10000,20,1.521787481398896
uniform_circle,10000,21,1.5261857111139219
uniform_circle,10000,22,1.4840883695558187
uniform_circle,10000,23,1.5192742072760244
uniform_circle,10000,24,1.5180175702145886
uniform_circle,10000,25,1.5224157999296142
uniform_circle,10000,26,1.4840883695558187
uniform_circle,10000,27,1.5343538520132554
uniform_circle,10000,28,1.49288482898587
uniform_circle,10000,29,1.5324688964211015
uniform_circle,10000,30,1.4979113772316137
uniform_circle,10000,31,1.5010529698852035
uniform_circle,10000,32,1.5387520817282812
uniform_circle,10000,33,1.5117343849074087
uniform_circle,10000,34,1.52367243699105
uniform_circle,10000,35,1.5343538520132554
uniform_circle,10000,36,1.4840883695558187
uniform_circle,10000,37,1.5293273037675117
uniform_circle,10000,38,1.5136193404995628
uniform_circle,10000,39,1.509849429315255
uniform_circle,10000,40,1.5506901338119223
uniform_circle,10000,41,1.5274423481753578
uniform_circle,10000,42,1.5513184523426402
uniform_circle,10000,43,1.5469202226276146
uniform_circle,10000,44,1.4708936804107415
uniform_circle,10000,45,1.555088363526948
uniform_circle,10000,46,1.5205308443374603
uniform_circle,10000,47,1.5180175702145886
uniform_circle,10000,48,1.5607432303034097
uniform_circle,10000,49,1.52367243699105
uniform_circle,10000,50,1.49288482898587
uniform_circle,10000,51,1.541893674381871
uniform_circle,10000,52,1.4872299622094085
uniform_circle,10000,53,1.5274423481753578
uniform_circle,10000,54,1.5261857111139219
uniform_circle,10000,55,1.49288482898587
uniform_circle,10000,56,1.5186458887453063
uniform_circle,10000,57,1.510477747845973
uniform_circle,10000,58,1.4608405839192542
uniform_circle,10000,59,1.5343538520132554
uniform_circle,10000,60,1.4708936804107415
uniform_circle,10000,61,1.4991680142930497
uniform_circle,10000,62,1.5349821705439735
uniform_circle,10000,63,1.5211591628681782
uniform_circle,10000,64,1.509221110784537
uniform_circle,10000,65,1.5500618152812042
uniform_circle,10000,66,1.5023096069466395
uniform_circle,10000,67,1.5437786299740248
uniform_circle,10000,68,1.494769784578024
uniform_circle,10000,69,1.555088363526948
uniform_circle,10000,70,1.509849429315255
uniform_circle,10000,71,1.5305839408289477
uniform_circle,10000,72,1.49288482898587
uniform_circle,10000,73,1.5048228810695112
uniform_circle,10000,74,1.4840883695558187
uniform_circle,10000,75,1.5142476590302807
uniform_circle,10000,76,1.5362388076054092
uniform_circle,10000,77,1.5035662440080755
uniform_circle,10000,78,1.4991680142930497
uniform_circle,10000,79,1.5180175702145886
uniform_circle,10000,80,1.5085927922538191
uniform_circle,10000,81,1.4840883695558187
uniform_circle,10000,82,1.512991021968845
uniform_circle,10000,83,1.5299556222982298
uniform_circle,10000,84,1.5192742072760244
uniform_circle,10000,85,1.5280706667060757
uniform_circle,10000,86,1.5173892516838705
uniform_circle,10000,87,1.5004246513544857
uniform_circle,10000,88,1.4991680142930497
uniform_circle,10000,89,1.475291910125767
uniform_circle,10000,90,1.5167609331531524
uniform_circle,10000,91,1.521787481398896
uniform_circle,10000,92,1.506707836661665
uniform_circle,10000,93,1.4960264216394599
uniform_circle,10000,94,1.4866016436786906
uniform_circle,10000,95,1.495398103108742
uniform_circle,10000,96,1.5538317264655122
uniform_circle,10000,97,1.5048228810695112
uniform_circle,10000,98,1.5588582747112558
uniform_circle,10000,99,1.4734069545336133
uniform_circle,10000,100,1.539380400258999
latin_hypercube,10000,1,1.5312
latin_hypercube,10000,2,1.4816
latin_hypercube,10000,3,1.5504
latin_hypercube,10000,4,1.5248
latin_hypercube,10000,5,1.568
latin_hypercube,10000,6,1.4928
latin_hypercube,10000,7,1.5232
latin_hypercube,10000,8,1.5472
latin_hypercube,10000,9,1.5088
latin_hypercube,10000,10,1.4816
latin_hypercube,10000,11,1.4944
latin_hypercube,10000,12,1.4944
latin_hypercube,10000,13,1.528
latin_hypercube,10000,14,1.4976
latin_hypercube,10000,15,1.4784
latin_hypercube,10000,16,1.5312
latin_hypercube,10000,17,1.5136
latin_hypercube,10000,18,1.5376
latin_hypercube,10000,19,1.5504
latin_hypercube,10000,20,1.5264
